; matrix-scan  -quick -v 2 -m results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf -matrix_format transfac -i data/leaderboard/train/CHS/GABPA/THC_0866.fasta -seq_format fasta -bgfile bg_models/equiprobable_1str.tsv -bg_pseudo 0.01 -pseudo 1 -decimals 1 -2str -return sites -uth rank_pm 1 -n score
; Quick counting mode           
; Input files
;	data/leaderboard/train/CHS/GABPA/THC_0866.fasta
;	bg_models/equiprobable_1str.tsv
; Matrix files
;	results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf
; Sequence format      
; Pseudo counts        
; Background model
;	file
;
;	sensitive
;	0.01
;
;	a	0.25000
;	c	0.25000
;	g	0.25000
;	t	0.25000
; Thresholds	upper
;	NA	1    
; Output columns
;	seq_id
;	ft_type
;	ft_name
;	strand
;	start
;	end
;	sequence
;	weight
#seq_id	ft_name	strand	start	end	weight
hg38_chr1_151059301_151059792_+	cluster_3_node_1_2motifs	R	316	341	10.9
hg38_chr1_151165745_151166252_+	cluster_3_node_1_2motifs	R	464	489	1.9
hg38_chr1_151189987_151190445_+	cluster_3_node_1_2motifs	D	144	169	6.0
hg38_chr1_151254529_151254839_+	cluster_3_node_1_2motifs	R	130	155	7.0
hg38_chr1_151281261_151282588_+	cluster_3_node_1_2motifs	R	1057	1082	12.1
hg38_chr1_151399267_151399741_+	cluster_3_node_1_2motifs	R	347	372	7.7
hg38_chr1_151909413_151909987_+	cluster_3_node_1_2motifs	R	137	162	11.7
hg38_chr1_152189146_152189455_+	cluster_3_node_1_2motifs	R	250	275	10.0
hg38_chr1_15247242_15247602_+	cluster_3_node_1_2motifs	R	12	37	12.2
hg38_chr1_153727685_153728237_+	cluster_3_node_1_2motifs	D	346	371	14.0
hg38_chr1_153922932_153923297_+	cluster_3_node_1_2motifs	R	3	28	7.7
hg38_chr1_153958516_153959056_+	cluster_3_node_1_2motifs	D	32	57	12.3
hg38_chr1_153963331_153963820_+	cluster_3_node_1_2motifs	R	349	374	11.5
hg38_chr1_153967241_153967847_+	cluster_3_node_1_2motifs	R	331	356	7.5
hg38_chr1_153990519_153990980_+	cluster_3_node_1_2motifs	D	414	439	5.5
hg38_chr1_154182882_154183485_+	cluster_3_node_1_2motifs	D	369	394	9.8
hg38_chr1_154220516_154220972_+	cluster_3_node_1_2motifs	R	415	440	11.0
hg38_chr1_154272314_154272743_+	cluster_3_node_1_2motifs	D	226	251	3.9
hg38_chr1_154325343_154325708_+	cluster_3_node_1_2motifs	D	155	180	16.2
hg38_chr1_154558579_154559157_+	cluster_3_node_1_2motifs	D	38	63	17.6
hg38_chr1_154961548_154962033_+	cluster_3_node_1_2motifs	R	5	30	9.6
hg38_chr1_154973865_154974523_+	cluster_3_node_1_2motifs	R	183	208	7.7
hg38_chr1_154982906_154983535_+	cluster_3_node_1_2motifs	D	203	228	11.2
hg38_chr1_155003954_155004376_+	cluster_3_node_1_2motifs	D	42	67	11.3
hg38_chr1_155135407_155136032_+	cluster_3_node_1_2motifs	R	382	407	12.7
hg38_chr1_155140318_155140786_+	cluster_3_node_1_2motifs	R	352	377	7.9
hg38_chr1_155209083_155209413_+	cluster_3_node_1_2motifs	R	87	112	14.8
hg38_chr1_15524078_15524359_+	cluster_3_node_1_2motifs	D	189	214	14.4
hg38_chr1_155262110_155262510_+	cluster_3_node_1_2motifs	D	68	93	9.4
hg38_chr1_15526427_15526950_+	cluster_3_node_1_2motifs	D	419	444	6.1
hg38_chr1_155273423_155273817_+	cluster_3_node_1_2motifs	D	38	63	11.5
hg38_chr1_155308470_155308809_+	cluster_3_node_1_2motifs	D	170	195	5.5
hg38_chr1_155323238_155323587_+	cluster_3_node_1_2motifs	D	135	160	9.8
hg38_chr1_155856966_155857450_+	cluster_3_node_1_2motifs	D	74	99	6.5
hg38_chr1_155934152_155934744_+	cluster_3_node_1_2motifs	D	122	147	6.8
hg38_chr1_155978399_155978676_+	cluster_3_node_1_2motifs	R	228	253	10.9
hg38_chr1_156020714_156021267_+	cluster_3_node_1_2motifs	D	12	37	8.8
hg38_chr1_156193758_156194295_+	cluster_3_node_1_2motifs	D	284	309	7.9
hg38_chr1_156572454_156572756_+	cluster_3_node_1_2motifs	R	194	219	9.7
hg38_chr1_156591500_156591851_+	cluster_3_node_1_2motifs	R	263	288	18.0
hg38_chr1_156660149_156660432_+	cluster_3_node_1_2motifs	R	94	119	10.5
hg38_chr1_156661305_156661636_+	cluster_3_node_1_2motifs	R	127	152	5.6
hg38_chr1_156728198_156728966_+	cluster_3_node_1_2motifs	R	418	443	16.7
hg38_chr1_156740904_156741512_+	cluster_3_node_1_2motifs	D	196	221	13.4
hg38_chr1_157138196_157138718_+	cluster_3_node_1_2motifs	R	234	259	12.1
hg38_chr1_1574507_1574891_+	cluster_3_node_1_2motifs	D	196	221	11.7
hg38_chr1_158149644_158149994_+	cluster_3_node_1_2motifs	R	258	283	3.7
hg38_chr1_15975920_15976213_+	cluster_3_node_1_2motifs	D	2	27	16.8
hg38_chr1_160031698_160032308_+	cluster_3_node_1_2motifs	D	417	442	14.5
hg38_chr1_160343064_160343573_+	cluster_3_node_1_2motifs	D	463	488	9.9
hg38_chr1_161045729_161046290_+	cluster_3_node_1_2motifs	D	257	282	3.6
hg38_chr1_161117794_161118415_+	cluster_3_node_1_2motifs	D	174	199	14.0
hg38_chr1_161153630_161154372_+	cluster_3_node_1_2motifs	R	642	667	3.0
hg38_chr1_161202009_161202588_+	cluster_3_node_1_2motifs	R	401	426	6.0
hg38_chr1_161314113_161314658_+	cluster_3_node_1_2motifs	D	205	230	10.5
hg38_chr1_161389668_161390115_+	cluster_3_node_1_2motifs	R	353	378	12.6
hg38_chr1_161399137_161400123_+	cluster_3_node_1_2motifs	R	378	403	9.8
hg38_chr1_161440419_161440721_+	cluster_3_node_1_2motifs	R	83	108	10.6
hg38_chr1_1614985_1616035_+	cluster_3_node_1_2motifs	R	488	513	12.9
hg38_chr1_161726752_161727271_+	cluster_3_node_1_2motifs	D	418	443	11.4
hg38_chr1_16206945_16207237_+	cluster_3_node_1_2motifs	D	145	170	15.2
hg38_chr1_16236935_16237404_+	cluster_3_node_1_2motifs	D	180	205	12.5
hg38_chr1_162497586_162498111_+	cluster_3_node_1_2motifs	R	432	457	8.9
hg38_chr1_163321477_163322317_+	cluster_3_node_1_2motifs	D	361	386	8.4
hg38_chr1_16366796_16367259_+	cluster_3_node_1_2motifs	R	423	448	14.5
hg38_chr1_16440543_16440970_+	cluster_3_node_1_2motifs	R	85	110	5.0
hg38_chr1_16498856_16499518_+	cluster_3_node_1_2motifs	R	509	534	21.9
hg38_chr1_165768632_165769238_+	cluster_3_node_1_2motifs	R	402	427	2.7
hg38_chr1_1658832_1659379_+	cluster_3_node_1_2motifs	D	94	119	15.5
hg38_chr1_16644378_16644849_+	cluster_3_node_1_2motifs	D	385	410	12.7
hg38_chr1_166839147_166839469_+	cluster_3_node_1_2motifs	R	120	145	12.5
hg38_chr1_167714265_167714777_+	cluster_3_node_1_2motifs	D	118	143	13.2
hg38_chr1_168178603_168179212_+	cluster_3_node_1_2motifs	R	337	362	17.4
hg38_chr1_16904630_16905092_+	cluster_3_node_1_2motifs	D	227	252	6.2
hg38_chr1_169367724_169368464_+	cluster_3_node_1_2motifs	D	102	127	7.8
hg38_chr1_169794520_169795235_+	cluster_3_node_1_2motifs	D	669	694	8.1
hg38_chr1_169893801_169894309_+	cluster_3_node_1_2motifs	R	2	27	5.0
hg38_chr1_17053915_17054391_+	cluster_3_node_1_2motifs	R	259	284	8.8
hg38_chr1_171781181_171781841_+	cluster_3_node_1_2motifs	D	292	317	13.3
hg38_chr1_1724134_1724817_+	cluster_3_node_1_2motifs	D	18	43	12.9
hg38_chr1_172443853_172444256_+	cluster_3_node_1_2motifs	D	32	57	9.9
hg38_chr1_173714561_173715300_+	cluster_3_node_1_2motifs	R	660	685	11.4
hg38_chr1_173824198_173824813_+	cluster_3_node_1_2motifs	D	164	189	4.8
hg38_chr1_173867990_173868773_+	cluster_3_node_1_2motifs	D	592	617	12.5
hg38_chr1_174999242_174999849_+	cluster_3_node_1_2motifs	R	492	517	4.1
hg38_chr1_175029667_175029944_+	cluster_3_node_1_2motifs	D	186	211	-1.6
hg38_chr1_178542121_178542396_+	cluster_3_node_1_2motifs	R	126	151	9.8
hg38_chr1_179877615_179878036_+	cluster_3_node_1_2motifs	D	163	188	8.1
hg38_chr1_179882446_179882965_+	cluster_3_node_1_2motifs	R	68	93	9.5
hg38_chr1_180502650_180502998_+	cluster_3_node_1_2motifs	R	29	54	9.5
hg38_chr1_182029622_182030214_+	cluster_3_node_1_2motifs	R	158	183	17.6
hg38_chr1_182614950_182615252_+	cluster_3_node_1_2motifs	D	156	181	9.1
hg38_chr1_182616125_182616426_+	cluster_3_node_1_2motifs	D	131	156	6.5
hg38_chr1_183471783_183472726_+	cluster_3_node_1_2motifs	D	586	611	14.5
hg38_chr1_183635560_183635890_+	cluster_3_node_1_2motifs	D	287	312	8.1
hg38_chr1_184051525_184051917_+	cluster_3_node_1_2motifs	R	265	290	6.8
hg38_chr1_184754618_184755112_+	cluster_3_node_1_2motifs	D	203	228	11.1
hg38_chr1_186375228_186375768_+	cluster_3_node_1_2motifs	R	458	483	11.2
hg38_chr1_1909091_1909408_+	cluster_3_node_1_2motifs	R	189	214	16.4
hg38_chr1_19210190_19210733_+	cluster_3_node_1_2motifs	D	95	120	11.3
hg38_chr1_193058461_193058752_+	cluster_3_node_1_2motifs	R	257	282	0.1
hg38_chr1_193059382_193059784_+	cluster_3_node_1_2motifs	R	190	215	9.1
hg38_chr1_19485355_19485675_+	cluster_3_node_1_2motifs	D	237	262	17.0
hg38_chr1_1954820_1955132_+	cluster_3_node_1_2motifs	D	284	309	5.1
hg38_chr1_19596690_19597216_+	cluster_3_node_1_2motifs	R	300	325	10.3
hg38_chr1_197201156_197201453_+	cluster_3_node_1_2motifs	D	164	189	11.2
hg38_chr1_197915633_197915920_+	cluster_3_node_1_2motifs	D	230	255	1.7
hg38_chr1_197928931_197929299_+	cluster_3_node_1_2motifs	D	157	182	11.3
hg38_chr1_198159035_198159324_+	cluster_3_node_1_2motifs	R	225	250	6.5
hg38_chr1_200620620_200621080_+	cluster_3_node_1_2motifs	R	337	362	11.5
hg38_chr1_200669654_200670177_+	cluster_3_node_1_2motifs	R	321	346	14.4
hg38_chr1_201114342_201114708_+	cluster_3_node_1_2motifs	D	159	184	8.1
hg38_chr1_201955210_201955581_+	cluster_3_node_1_2motifs	D	265	290	7.3
hg38_chr1_201982994_201983441_+	cluster_3_node_1_2motifs	R	98	123	9.6
hg38_chr1_202810463_202810839_+	cluster_3_node_1_2motifs	R	212	237	7.5
hg38_chr1_202888739_202889199_+	cluster_3_node_1_2motifs	R	97	122	8.5
hg38_chr1_202958093_202958453_+	cluster_3_node_1_2motifs	D	335	360	15.7
hg38_chr1_203682834_203683125_+	cluster_3_node_1_2motifs	D	140	165	2.5
hg38_chr1_203861360_203861894_+	cluster_3_node_1_2motifs	D	57	82	7.5
hg38_chr1_204363430_204363799_+	cluster_3_node_1_2motifs	R	287	312	5.9
hg38_chr1_204411207_204412067_+	cluster_3_node_1_2motifs	R	834	859	16.2
hg38_chr1_204516148_204516722_+	cluster_3_node_1_2motifs	D	308	333	10.5
hg38_chr1_20486277_20486547_+	cluster_3_node_1_2motifs	D	74	99	14.7
hg38_chr1_20507901_20508517_+	cluster_3_node_1_2motifs	D	197	222	6.7
hg38_chr1_205121748_205122460_+	cluster_3_node_1_2motifs	D	32	57	4.4
hg38_chr1_205211384_205211912_+	cluster_3_node_1_2motifs	D	189	214	11.9
hg38_chr1_205631204_205632230_+	cluster_3_node_1_2motifs	D	301	326	19.5
hg38_chr1_205813059_205813421_+	cluster_3_node_1_2motifs	D	227	252	11.2
hg38_chr1_20661154_20661806_+	cluster_3_node_1_2motifs	D	507	532	10.6
hg38_chr1_207751795_207752202_+	cluster_3_node_1_2motifs	D	185	210	11.7
hg38_chr1_207963435_207963931_+	cluster_3_node_1_2motifs	R	337	362	10.5
hg38_chr1_208245152_208245481_+	cluster_3_node_1_2motifs	D	255	280	0.3
hg38_chr1_209207759_209208041_+	cluster_3_node_1_2motifs	R	15	40	7.2
hg38_chr1_209784410_209784953_+	cluster_3_node_1_2motifs	D	269	294	7.8
hg38_chr1_209827706_209828075_+	cluster_3_node_1_2motifs	R	166	191	5.9
hg38_chr1_21022296_21022655_+	cluster_3_node_1_2motifs	D	171	196	-2.3
hg38_chr1_210328990_210329537_+	cluster_3_node_1_2motifs	R	289	314	10.1
hg38_chr1_211382498_211382875_+	cluster_3_node_1_2motifs	D	159	184	13.9
hg38_chr1_212035488_212035829_+	cluster_3_node_1_2motifs	D	10	35	6.7
hg38_chr1_212791574_212792062_+	cluster_3_node_1_2motifs	D	446	471	6.5
hg38_chr1_213051027_213051494_+	cluster_3_node_1_2motifs	R	345	370	13.6
hg38_chr1_214280959_214281301_+	cluster_3_node_1_2motifs	D	95	120	14.7
hg38_chr1_217630905_217631259_+	cluster_3_node_1_2motifs	R	181	206	3.8
hg38_chr1_218284987_218285478_+	cluster_3_node_1_2motifs	R	40	65	10.3
hg38_chr1_2194590_2195368_+	cluster_3_node_1_2motifs	D	211	236	20.6
hg38_chr1_220093889_220094322_+	cluster_3_node_1_2motifs	D	170	195	14.3
hg38_chr1_22025195_22025795_+	cluster_3_node_1_2motifs	D	406	431	8.3
hg38_chr1_220272249_220272725_+	cluster_3_node_1_2motifs	D	125	150	12.3
hg38_chr1_220732996_220733362_+	cluster_3_node_1_2motifs	D	245	270	1.4
hg38_chr1_222589705_222590127_+	cluster_3_node_1_2motifs	R	350	375	9.1
hg38_chr1_222643931_222644408_+	cluster_3_node_1_2motifs	D	304	329	14.7
hg38_chr1_222713197_222713614_+	cluster_3_node_1_2motifs	D	118	143	8.4
hg38_chr1_2227522_2227844_+	cluster_3_node_1_2motifs	D	149	174	14.8
hg38_chr1_222814742_222815271_+	cluster_3_node_1_2motifs	R	225	250	13.1
hg38_chr1_223628168_223628510_+	cluster_3_node_1_2motifs	D	189	214	1.7
hg38_chr1_223845488_223845774_+	cluster_3_node_1_2motifs	D	30	55	10.5
hg38_chr1_223992468_223992931_+	cluster_3_node_1_2motifs	D	351	376	8.5
hg38_chr1_224113803_224114832_+	cluster_3_node_1_2motifs	D	468	493	11.1
hg38_chr1_224330259_224330604_+	cluster_3_node_1_2motifs	D	191	216	2.6
hg38_chr1_224434654_224435191_+	cluster_3_node_1_2motifs	R	34	59	14.9
hg38_chr1_2255388_2256418_+	cluster_3_node_1_2motifs	D	146	171	0.2
hg38_chr1_225778115_225778517_+	cluster_3_node_1_2motifs	D	194	219	4.9
hg38_chr1_225923971_225924602_+	cluster_3_node_1_2motifs	D	527	552	19.2
hg38_chr1_225999236_225999709_+	cluster_3_node_1_2motifs	R	225	250	15.3
hg38_chr1_226186476_226187074_+	cluster_3_node_1_2motifs	D	3	28	11.9
hg38_chr1_226703400_226703763_+	cluster_3_node_1_2motifs	R	158	183	13.2
hg38_chr1_226827942_226828425_+	cluster_3_node_1_2motifs	D	41	66	8.2
hg38_chr1_226939440_226940236_+	cluster_3_node_1_2motifs	D	279	304	9.1
hg38_chr1_227563309_227564028_+	cluster_3_node_1_2motifs	R	523	548	12.8
hg38_chr1_227735096_227735587_+	cluster_3_node_1_2motifs	R	351	376	8.1
hg38_chr1_227762430_227762785_+	cluster_3_node_1_2motifs	R	210	235	7.0
hg38_chr1_228139709_228140463_+	cluster_3_node_1_2motifs	R	279	304	13.6
hg38_chr1_228165751_228166207_+	cluster_3_node_1_2motifs	D	320	345	11.1
hg38_chr1_228406536_228407007_+	cluster_3_node_1_2motifs	R	55	80	13.3
hg38_chr1_229270811_229271143_+	cluster_3_node_1_2motifs	D	225	250	14.7
hg38_chr1_229626000_229626494_+	cluster_3_node_1_2motifs	D	6	31	18.1
hg38_chr1_230978811_230979290_+	cluster_3_node_1_2motifs	R	102	127	10.3
hg38_chr1_231039528_231039942_+	cluster_3_node_1_2motifs	D	65	90	13.6
hg38_chr1_231211529_231211846_+	cluster_3_node_1_2motifs	D	29	54	10.3
hg38_chr1_231240948_231241392_+	cluster_3_node_1_2motifs	D	242	267	5.8
hg38_chr1_231337775_231338171_+	cluster_3_node_1_2motifs	D	6	31	8.9
hg38_chr1_231528232_231528923_+	cluster_3_node_1_2motifs	R	360	385	11.5
hg38_chr1_232950328_232950761_+	cluster_3_node_1_2motifs	R	252	277	11.1
hg38_chr1_233329453_233329760_+	cluster_3_node_1_2motifs	R	89	114	1.6
hg38_chr1_23368230_23368618_+	cluster_3_node_1_2motifs	D	42	67	6.5
hg38_chr1_234373170_234373831_+	cluster_3_node_1_2motifs	D	412	437	9.5
hg38_chr1_234600013_234600361_+	cluster_3_node_1_2motifs	D	220	245	19.4
hg38_chr1_235128608_235129132_+	cluster_3_node_1_2motifs	R	121	146	8.3
hg38_chr1_235160964_235161531_+	cluster_3_node_1_2motifs	D	331	356	13.0
hg38_chr1_235367115_235367719_+	cluster_3_node_1_2motifs	R	183	208	9.1
hg38_chr1_23558252_23558590_+	cluster_3_node_1_2motifs	D	290	315	9.8
hg38_chr1_235917536_235917810_+	cluster_3_node_1_2motifs	R	250	275	5.9
hg38_chr1_236604380_236604753_+	cluster_3_node_1_2motifs	D	240	265	5.6
hg38_chr1_236794782_236795424_+	cluster_3_node_1_2motifs	R	466	491	10.2
hg38_chr1_23691612_23691953_+	cluster_3_node_1_2motifs	R	268	293	3.3
hg38_chr1_23743147_23743934_+	cluster_3_node_1_2motifs	D	625	650	13.9
hg38_chr1_23790846_23791455_+	cluster_3_node_1_2motifs	R	310	335	9.8
hg38_chr1_23800811_23801129_+	cluster_3_node_1_2motifs	R	251	276	10.2
hg38_chr1_2391467_2392102_+	cluster_3_node_1_2motifs	R	563	588	13.6
hg38_chr1_23958978_23959288_+	cluster_3_node_1_2motifs	R	124	149	4.4
hg38_chr1_241640286_241640628_+	cluster_3_node_1_2motifs	D	146	171	17.3
hg38_chr1_241847805_241848334_+	cluster_3_node_1_2motifs	R	309	334	6.3
hg38_chr1_24321767_24322130_+	cluster_3_node_1_2motifs	R	254	279	7.3
hg38_chr1_244451859_244452350_+	cluster_3_node_1_2motifs	D	70	95	19.6
hg38_chr1_244834780_244835519_+	cluster_3_node_1_2motifs	R	432	457	15.1
hg38_chr1_244862886_244863298_+	cluster_3_node_1_2motifs	D	217	242	19.8
hg38_chr1_246566130_246566518_+	cluster_3_node_1_2motifs	D	184	209	7.1
hg38_chr1_247104205_247104551_+	cluster_3_node_1_2motifs	D	248	273	11.3
hg38_chr1_248825942_248826521_+	cluster_3_node_1_2motifs	R	310	335	9.3
hg38_chr1_25232318_25232951_+	cluster_3_node_1_2motifs	D	62	87	7.2
hg38_chr1_25239595_25240327_+	cluster_3_node_1_2motifs	R	314	339	8.0
hg38_chr1_2546706_2546982_+	cluster_3_node_1_2motifs	R	15	40	6.2
hg38_chr1_25819725_25820179_+	cluster_3_node_1_2motifs	R	323	348	9.9
hg38_chr1_26169752_26170069_+	cluster_3_node_1_2motifs	D	183	208	7.6
hg38_chr1_2643074_2643434_+	cluster_3_node_1_2motifs	D	317	342	11.8
hg38_chr1_26500946_26501301_+	cluster_3_node_1_2motifs	R	40	65	14.3
hg38_chr1_26788006_26788409_+	cluster_3_node_1_2motifs	D	116	141	10.2
hg38_chr1_26864959_26865386_+	cluster_3_node_1_2motifs	R	165	190	11.2
hg38_chr1_26890122_26890530_+	cluster_3_node_1_2motifs	R	243	268	9.9
hg38_chr1_26921488_26922185_+	cluster_3_node_1_2motifs	D	474	499	9.1
hg38_chr1_27321872_27322501_+	cluster_3_node_1_2motifs	D	361	386	14.0
hg38_chr1_27366982_27367254_+	cluster_3_node_1_2motifs	R	26	51	3.7
hg38_chr1_27773036_27773432_+	cluster_3_node_1_2motifs	R	124	149	9.5
hg38_chr1_27914542_27914934_+	cluster_3_node_1_2motifs	R	206	231	2.8
hg38_chr1_28088391_28088935_+	cluster_3_node_1_2motifs	D	354	379	9.4
hg38_chr1_28328746_28329306_+	cluster_3_node_1_2motifs	R	310	335	1.5
hg38_chr1_28369588_28369885_+	cluster_3_node_1_2motifs	R	210	235	8.8
hg38_chr1_28505804_28506415_+	cluster_3_node_1_2motifs	R	82	107	4.2
